Date,NIFTY,ABB.NS,ACC.NS,ADANIGREEN.NS,ADANIPORTS.NS,AMBUJACEM.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BHEL.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BANKBARODA.NS,BEL.NS,BPCL.NS,BHARTIARTL.NS,INFRATEL-EQ.NS,BOSCHLTD.NS,BRITANNIA.NS,CAIRN-EQ.NS,CIPLA.NS,COALINDIA.NS,DLF.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDPETRO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFC.NS,ITC.NS,IDEA.NS,SAMMAANCAP.NS,IOC.NS,INDUSINDBK.NS,INFY.NS,JPASSOCIAT.NS,JSWSTEEL.NS,JINDALSTEL.NS,KOTAKBANK.NS,LTIM.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NMDC.NS,NTPC.NS,NESTLEIND.NS,ONGC.NS,POWERGRID.NS,PNB.NS,RELCAPITAL.NS,RCOM.NS,RELIANCE.NS,RELINFRA.NS,RPOWER.NS,SBILIFE.NS,SHREECEM.NS,SHRIRAMFIN.NS,SIEMENS.NS,SBIN.NS,SAIL.NS,STLTECH.NS,SUNPHARMA.NS,SUZLON.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,TRENT.NS,UPL.NS,ULTRACEMCO.NS,UNITECH.NS,UNITDSPR.BO,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
21-04-2015,8377.75,1181.787231,1320.458862,,298.4013367,205.3182526,1179.139526,740.9983521,633.8440552,506.3768921,135.6357727,1534.327759,424.4615173,133.8291931,160.3521423,26.38624382,76.95851135,340.9520569,,21943.93359,910.7942505,222.6,615.7442627,172.2418365,125.4470367,811.6702881,566.5283813,1241.189209,50.84671783,530.9536743,348.7775574,1258.15,463.9088745,,1754.718506,125.2284088,58.58223343,745.3179932,257.1986694,82.04,170.2505493,110.6301117,353.6156311,32.06538391,788.9258423,415.7573242,24.10000038,82.75761414,150.5249329,672.4313965,,955.6556396,1666.269653,537.0733032,3173.865234,46.03392792,83.24425507,599.6201782,134.9541779,55.49037933,149.549408,339.3959045,65.55000305,185.6710663,392.8614502,56.4280777,,9641.456055,877.1756592,1205.773193,262.9513245,62.30405045,54.39865112,885.8485718,23.87356377,1020.084229,133.1933746,523.9317017,63.91495132,11.92934322,496.4161377,371.34375,125.4593582,255.67099,2649.604004,16.39999962,713.2403564,70.12597656,205.2936554,147.1478882,304.8241272
22-04-2015,8429.700195,1178.629761,1374.428101,,297.6897583,207.0720367,1217.112427,730.7183228,642.0108643,522.7334595,137.9063416,1530.662231,415.3868408,131.7454987,160.0851288,26.8084259,77.52668762,341.8936462,,21345.86523,909.3639526,218.6,619.612793,174.4500732,123.550415,820.3618164,584.2509155,1246.033325,50.83995819,536.1986694,343.5496826,1277.2,468.5803833,,1815.215942,125.5547638,60.27128601,774.3848877,258.9362183,81.92,170.9724884,110.9282303,360.587738,32.80553818,796.8831177,414.8064575,24.45000076,83.62833405,150.9201202,677.0284424,,987.8265991,1657.605225,547.2241821,3149.129883,45.92541122,83.986763,598.244873,131.5629272,54.81935883,150.1081085,340.1960449,65.75,186.370163,400.1812744,57.30976868,,9739.749023,889.2539673,1210.114746,258.0869446,61.20878601,54.94536591,900.3613892,23.64400864,1027.670654,132.7056427,520.057373,64.86334991,12.03553295,490.4201965,374.9884644,124.8472443,258.6190796,2689.667969,16.45000076,699.3980713,70.09275818,193.3627319,149.4572296,302.1104736
23-04-2015,8398.299805,1176.899414,1340.272583,,302.3395386,203.2651062,1250.604126,731.6019897,635.31604,520.8946533,139.4001312,1536.334106,414.8773193,135.4255524,159.7290802,26.95689011,77.28593445,342.2789001,,21434.69141,946.9486694,213.6,626.453186,176.7733154,123.0085297,817.0310669,577.4597778,1279.07019,50.78588104,531.7134399,350.4809875,1276.05,468.7653503,,1801.014648,125.927742,60.04794693,770.5431519,258.0260925,83.05,170.3252106,110.0338821,359.7523193,33.26135254,808.6538086,411.7599487,24.45000076,85.8138504,152.2045441,684.6324463,,975.6599121,1634.263428,540.8629761,3177.775391,45.07526016,82.22673035,601.4352417,129.730423,54.67023087,148.9906769,338.4356995,64.80000305,185.7982025,394.4365845,57.4077301,,9959.320313,879.1817017,1196.530396,252.449646,62.34618759,56.31217194,876.3592529,23.59809875,1032.776489,133.1933746,508.6329651,65.35817719,12.65555286,479.0513611,381.9468079,120.2707672,263.0712891,2627.549561,16.35000038,705.5601196,70.25886536,189.7053223,159.8302917,307.771759
24-04-2015,8305.25,1152.936646,1351.746338,,300.1570129,199.6292572,1248.435547,717.600769,612.1206055,510.2965698,139.8183899,1542.352539,401.7990723,135.2912445,155.0115204,26.27995682,75.16249847,341.679657,,19842.39648,941.6894531,218.65,601.6385498,173.092926,118.357338,810.347168,570.1530151,1276.767578,49.77853775,535.1832275,352.8214722,1245.15,465.5045776,,1772.573853,122.2911682,58.14484024,759.317749,255.0473785,81.87,173.237854,108.8712387,356.1860046,32.11502838,782.0988159,387.1552734,22.89999962,83.2931366,146.6222229,680.0105591,,949.9118652,1663.902344,528.7946777,3220.471191,46.59466171,82.39174652,596.3034668,133.4797211,54.37200165,146.7558289,335.5550232,63.65000153,186.190094,394.8072205,56.37909317,,9681.128906,887.6747437,1146.628052,250.5402679,62.34618759,53.53301239,881.3831177,22.5421524,1047.823853,130.5773773,512.8053589,64.40975952,12.69152069,457.4814758,374.7991333,115.3493652,261.5370789,2606.988281,15.69999981,677.4091797,68.06638336,185.7816162,154.6953888,300.1921082
27-04-2015,8213.799805,1140.176392,1318.517212,,290.3352356,196.8916626,1134.661011,692.9008789,577.102356,507.344696,135.2175293,1531.241211,387.7552185,131.8896942,152.0741882,25.13487625,70.52082825,334.703186,,18913.45703,911.6744385,208.45,592.958252,173.7369843,111.9449921,793.5570679,554.026123,1281.151855,48.87937164,527.9731445,347.4127502,1211.75,465.0420837,,1745.602417,121.2654953,55.3855629,739.8120117,250.1243744,80.08,171.6944122,110.7493591,358.1458435,31.55540466,775.036377,385.1081543,21.10000038,81.64746094,144.0533752,664.4048462,,943.7435913,1631.706787,526.0199585,3317.774658,45.94348526,81.53921509,596.159729,130.3201904,54.03647995,148.6647644,323.6723328,61.45000076,185.4274597,380.3992004,54.61571884,,9619.717773,850.9711914,1180.985474,242.8117523,62.34618759,52.84960938,861.8464355,21.02709961,1050.828735,126.0548401,513.4510498,63.99741364,12.63671112,457.2869568,365.900238,112.3518295,268.2455139,2557.245605,14.89999962,653.78302,69.76056671,189.5455475,152.2828064,303.4204712
28-04-2015,8285.599609,1162.76062,1336.653931,,290.4775696,197.2338715,1125.215942,712.1119385,614.1149902,517.7974243,139.1909943,1535.639526,388.9781189,131.8300171,154.3884583,25.15681267,73.68431091,343.0493469,,19629.22656,922.0388794,213.65,595.977417,171.3217316,115.6930542,804.0508423,558.3872681,1316.192383,48.39261246,529.4342041,342.4171448,1228.25,464.6257629,,1774.645508,122.4776993,57.79120255,734.647522,270.4370728,82.12,168.059906,114.3863449,368.9413147,31.72239113,779.4151001,380.4995728,20.70000076,82.30049133,141.5833435,666.9891968,,942.4701538,1630.381104,533.3513794,3476.187988,46.43186951,83.21675873,595.180603,129.5619202,53.85007858,149.9218597,325.15271,62.90000153,183.2878418,388.1359863,57.11383438,,9887.158203,846.1057129,1207.733643,247.7670593,62.26191711,54.89981079,860.4043579,22.03713417,1048.643188,125.8774796,526.3656006,64.24481964,12.71721077,473.9118042,365.5688477,116.3598862,286.2949219,2589.604736,15.19999981,680.6737671,70.39173126,188.995163,155.1647339,300.1921082
29-04-2015,8239.75,1162.674194,1310.13269,,296.8830261,203.8639679,1122.806274,701.8319092,608.6783447,534.2024536,138.7129822,1526.765991,387.2019958,138.170639,152.9642944,25.31876755,72.79833984,331.5786743,,19537.73242,946.9268188,211.15,593.7129517,170.6546783,120.7958298,803.2979736,553.5106812,1321.661011,49.467556,525.8911743,348.9862366,1201.15,459.3530579,,1787.11438,121.7783432,57.55855179,732.1719971,273.167572,81.36,163.3797913,108.2452011,379.0621033,31.57797623,784.5001221,380.5481567,20.54999924,83.34100342,144.0039825,660.901123,,936.6982422,1651.545044,529.0427856,3424.898682,46.21481323,83.38175964,571.5536499,129.0353546,53.32815933,148.9906769,323.872406,61.65000153,180.0677795,381.9743347,56.47706223,,9961.585938,840.1734009,1214.315796,247.2215271,62.09342575,55.12761688,874.9638672,21.99122429,1045.407593,126.4095612,517.4744873,63.87369919,12.67267799,480.375061,361.4980469,112.395546,281.9630432,2580.311035,15.10000038,665.6010742,68.78059387,192.332962,156.6855469,300.1453552
30-04-2015,8181.5,1159.203125,1265.342285,,301.3431396,198.8165131,1095.965088,709.3209229,610.4588623,549.5427246,142.2383118,1503.61731,392.5206604,142.7160187,150.4275055,26.01888847,73.6457901,326.2286072,,20335.23828,967.2814941,213.45,600.0817261,166.8822632,123.2343369,786.3255005,541.6956787,1317.627808,48.71712875,524.4081421,346.3704834,1170,457.3410645,,1754.567993,119.9134293,58.17742157,725.897644,273.9949341,82.31,160.4920807,104.3399124,381.4717102,32.60243988,775.7427368,376.8807678,20.60000038,81.16855621,137.9276581,662.4417114,,923.1448975,1678.485352,516.5684814,3388.205811,46.39569473,82.66673279,572.1761475,128.0664063,53.0112915,148.7578735,323.1522827,60.5,182.6840515,384.0591125,55.49740982,,9826.951172,827.8391724,1270.473389,245.2666931,58.51273346,54.67201233,873.4287109,21.85349274,1035.488159,126.0105133,504.9076538,62.51293182,12.3438282,483.84021,362.3973694,110.6417236,295.1993713,2573.425293,15.39999962,660.7984619,69.71074677,191.2499695,157.6054688,292.0042114
04-05-2015,8331.950195,1198.209106,1301.439575,,329.4798889,206.4304352,1158.080933,725.0897827,619.3143311,550.0750732,146.4806519,1611.065308,406.9187927,144.3272552,151.9406891,26.43390274,75.47066498,336.3295593,,20524.32617,989.5286255,219.3,635.652771,170.1255951,124.9051208,813.7003784,555.5725708,1330.030762,49.5960083,529.6241455,361.8096008,1202.2,462.9607544,,1800.261108,124.1560898,58.62875366,735.6292114,272.4642639,82.26,164.4004517,106.2776489,377.6162415,32.92287445,792.5984497,386.7477417,21.14999962,81.6692276,140.3482971,665.3739624,,922.0129395,1718.540405,542.5096436,3417.214844,47.01068497,83.79426575,592.0985718,138.3243256,53.73824692,155.1831055,331.394104,62.84999847,188.7428589,402.9609375,57.94654465,,9963.321289,706.7598267,1310.432251,251.9950562,60.2820282,55.71989822,881.7086792,22.67988586,1042.990356,127.2963562,503.1195068,63.75000763,12.38836193,476.3648987,364.7168579,114.8198242,299.1100769,2609.010742,15.55000019,699.1698608,70.55783844,192.155426,160.3184509,300.3325195
05-05-2015,8324.799805,1217.169556,1298.61499,,325.2095947,204.6338654,1157.261597,726.9505615,648.088623,547.6555176,146.4806519,1590.810181,416.3816528,143.5912323,151.3175964,27.60429001,74.85434723,331.3218689,,20351.68359,1032.020508,214.25,624.8964233,167.6413727,125.8083115,797.7546387,556.8163452,1349.190552,50.48165131,523.1224976,358.7218323,1180.35,456.8091431,,1776.077148,129.9373016,58.5124321,750.3971558,271.7609863,81.82,162.4338531,106.695015,378.2909241,32.87322617,787.7488403,380.858551,20.89999962,84.73851013,144.9425812,707.3450317,,929.4263916,1715.604736,532.0204468,3449.316162,48.9280014,82.77671814,592.6166992,144.1378632,53.36545563,154.4381561,335.5950317,67.94999695,188.9970398,410.3734436,58.19145584,,10040.30762,722.7213135,1256.282349,247.3579102,61.88279343,56.26660919,891.6630859,22.08304405,1058.247192,128.1830902,507.0932007,62.76033783,13.02036762,474.9631958,363.9121399,114.7566605,297.876709,2609.155029,15.55000019,716.187439,75.30818176,193.4870148,160.9849548,295.3262024
